,id,,season,,week,,start_date,,home_id,,home_points,,away_id,,away_points,
",(",401441993,",",2022,",",17,",'",2022-12-16T16:30:00.000Z,"',",5,",",24,",",193,",",20,)
",(",401441994,",",2022,",",17,",'",2022-12-16T20:00:00.000Z,"',",2653,",",18,",",2636,",",12,)
",(",401441995,",",2022,",",17,",'",2022-12-17T16:00:00.000Z,"',",97,",",24,",",2132,",",7,)
",(",401441999,",",2022,",",17,",'",2022-12-17T19:30:00.000Z,"',",204,",",30,",",57,",",3,)
",(",401442038,",",2022,",",17,",'",2022-12-17T20:30:00.000Z,"',",278,",",29,",",265,",",6,)
",(",401442041,",",2022,",",17,",'",2022-12-17T22:45:00.000Z,"',",2572,",",38,",",242,",",24,)
",(",401441997,",",2022,",",17,",'",2022-12-18T00:30:00.000Z,"',",252,",",24,",",2567,",",23,)
",(",401442001,",",2022,",",17,",'",2022-12-18T02:15:00.000Z,"',",68,",",35,",",249,",",32,)
",(",401442003,",",2022,",",17,",'",2022-12-19T19:30:00.000Z,"',",41,",",14,",",276,",",28,)
",(",401442004,",",2022,",",17,",'",2022-12-20T20:30:00.000Z,"',",23,",",27,",",2199,",",41,)
",(",401442006,",",2022,",",17,",'",2022-12-21T00:30:00.000Z,"',",2649,",",21,",",2335,",",19,)
",(",401442039,",",2022,",",17,",'",2022-12-22T02:00:00.000Z,"',",6,",",23,",",98,",",44,)
",(",401442040,",",2022,",",17,",'",2022-12-23T00:30:00.000Z,"',",2005,",",30,",",239,",",15,)
",(",401442042,",",2022,",",17,",'",2022-12-23T20:00:00.000Z,"',",248,",",23,",",309,",",16,)
",(",401442007,",",2022,",",17,",'",2022-12-23T23:30:00.000Z,"',",142,",",17,",",154,",",27,)
",(",401442009,",",2022,",",17,",'",2022-12-25T01:00:00.000Z,"',",21,",",23,",",2393,",",25,)
",(",401442037,",",2022,",",17,",'",2022-12-26T19:30:00.000Z,"',",189,",",19,",",166,",",24,)
",(",401441998,",",2022,",",17,",'",2022-12-27T17:00:00.000Z,"',",2084,",",23,",",290,",",21,)
",(",401442000,",",2022,",",17,",'",2022-12-27T20:15:00.000Z,"',",328,",",10,",",235,",",38,)
",(",401442002,",",2022,",",17,",'",2022-12-27T23:45:00.000Z,"',",151,",",53,",",324,",",29,)
",(",401442005,",",2022,",",17,",'",2022-12-28T03:15:00.000Z,"',",197,",",17,",",275,",",24,)
",(",401442008,",",2022,",",17,",'",2022-12-28T19:00:00.000Z,"',",150,",",30,",",2116,",",13,)
",(",401442030,",",2022,",",17,",'",2022-12-28T22:30:00.000Z,"',",8,",",55,",",2305,",",53,)
",(",401470891,",",2022,",",17,",'",2022-12-29T01:00:00.000Z,"',",153,",",27,",",2483,",",28,)
",(",401442031,",",2022,",",17,",'",2022-12-29T02:00:00.000Z,"',",145,",",25,",",2641,",",42,)
",(",401442032,",",2022,",",17,",'",2022-12-29T19:00:00.000Z,"',",135,",",28,",",183,",",20,)
",(",401442033,",",2022,",",17,",'",2022-12-29T22:30:00.000Z,"',",52,",",35,",",201,",",32,)
",(",401442034,",",2022,",",17,",'",2022-12-30T02:00:00.000Z,"',",264,",",27,",",251,",",20,)
",(",401442035,",",2022,",",17,",'",2022-12-30T17:00:00.000Z,"',",152,",",12,",",120,",",16,)
",(",401443542,",",2022,",",17,",'",2022-12-30T19:00:00.000Z,"',",26,",",35,",",221,",",37,)
",(",401442036,",",2022,",",17,",'",2022-12-30T20:30:00.000Z,"',",2579,",",38,",",87,",",45,)
",(",401443543,",",2022,",",17,",'",2022-12-30T21:30:00.000Z,"',",2751,",",27,",",195,",",30,)
",(",401442019,",",2022,",",17,",'",2022-12-31T01:00:00.000Z,"',",228,",",14,",",2633,",",31,)
",(",401442018,",",2022,",",17,",'",2022-12-31T17:00:00.000Z,"',",2306,",",20,",",333,",",45,)
",(",401442017,",",2022,",",17,",'",2022-12-31T17:00:00.000Z,"',",96,",",0,",",2294,",",21,)
",(",401442016,",",2022,",",18,",'",2022-12-31T21:00:00.000Z,"',",130,",",45,",",2628,",",51,)
",(",401442015,",",2022,",",18,",'",2023-01-01T01:00:00.000Z,"',",61,",",42,",",194,",",41,)
",(",401442011,",",2022,",",17,",'",2023-01-02T17:00:00.000Z,"',",356,",",10,",",344,",",19,)
",(",401442012,",",2022,",",17,",'",2023-01-02T18:00:00.000Z,"',",2509,",",7,",",99,",",63,)
",(",401442013,",",2022,",",17,",'",2023-01-02T18:00:00.000Z,"',",30,",",45,",",2655,",",46,)
",(",401442014,",",2022,",",17,",'",2023-01-02T22:00:00.000Z,"',",254,",",21,",",213,",",35,)
",(",401442010,",",2022,",",19,",'",2023-01-10T00:30:00.000Z,"',",61,",",65,",",2628,",",7,)
