,id,,season,,week,,start_date,,home_id,,home_points,,away_id,,away_points,
",(",401426532,",",2022,",",1,",'",2022-08-27T16:00:00.000Z,"',",98,",",38,",",2046,",",27,)
",(",401405059,",",2022,",",1,",'",2022-08-27T16:30:00.000Z,"',",77,",",31,",",158,",",28,)
",(",401413256,",",2022,",",1,",'",2022-08-27T19:30:00.000Z,"',",2439,",",52,",",304,",",21,)
",(",401405058,",",2022,",",1,",'",2022-08-27T20:00:00.000Z,"',",356,",",38,",",2751,",",6,)
",(",401404146,",",2022,",",1,",'",2022-08-27T20:00:00.000Z,"',",328,",",31,",",41,",",20,)
",(",401411090,",",2022,",",1,",'",2022-08-27T21:00:00.000Z,"',",52,",",47,",",2184,",",7,)
",(",401426530,",",2022,",",1,",'",2022-08-27T23:00:00.000Z,"',",2226,",",43,",",2429,",",13,)
",(",401411091,",",2022,",",1,",'",2022-08-28T00:15:00.000Z,"',",153,",",56,",",50,",",24,)
",(",401426531,",",2022,",",1,",'",2022-08-28T01:00:00.000Z,"',",2638,",",13,",",249,",",31,)
",(",401409235,",",2022,",",1,",'",2022-08-28T02:00:00.000Z,"',",166,",",12,",",2440,",",23,)
",(",401403853,",",2022,",",1,",'",2022-08-28T02:30:00.000Z,"',",62,",",10,",",238,",",63,)
",(",401416568,",",2022,",",1,",'",2022-09-01T22:00:00.000Z,"',",2006,",",30,",",2598,",",23,)
",(",401415610,",",2022,",",1,",'",2022-09-01T23:00:00.000Z,"',",2116,",",56,",",2569,",",10,)
",(",401426533,",",2022,",",1,",'",2022-09-01T23:00:00.000Z,"',",2229,",",38,",",2803,",",37,)
",(",401441990,",",2022,",",1,",'",2022-09-01T23:00:00.000Z,"',",2649,",",37,",",112358,",",0,)
",(",401403864,",",2022,",",1,",'",2022-09-01T23:00:00.000Z,"',",2633,",",59,",",2050,",",10,)
",(",401411092,",",2022,",",1,",'",2022-09-01T23:00:00.000Z,"',",221,",",38,",",277,",",31,)
",(",401416569,",",2022,",",1,",'",2022-09-01T23:00:00.000Z,"',",197,",",58,",",2117,",",44,)
",(",401411093,",",2022,",",1,",'",2022-09-01T23:30:00.000Z,"',",154,",",44,",",2678,",",10,)
",(",401416592,",",2022,",",1,",'",2022-09-02T00:00:00.000Z,"',",2459,",",34,",",2197,",",27,)
",(",401426534,",",2022,",",1,",'",2022-09-02T00:00:00.000Z,"',",5,",",59,",",2010,",",0,)
",(",401426537,",",2022,",",1,",'",2022-09-02T00:00:00.000Z,"',",142,",",52,",",2348,",",24,)
",(",401405064,",",2022,",",1,",'",2022-09-02T00:00:00.000Z,"',",2509,",",31,",",213,",",35,)
",(",401405060,",",2022,",",1,",'",2022-09-02T01:00:00.000Z,"',",135,",",38,",",166,",",0,)
",(",401403965,",",2022,",",1,",'",2022-09-02T02:00:00.000Z,"',",9,",",40,",",2464,",",3,)
",(",401415213,",",2022,",",1,",'",2022-09-02T02:30:00.000Z,"',",23,",",21,",",2502,",",17,)
