,id,,season,,week,,start_date,,home_id,,away_id,
",(",401525434,",",2023,",",0,",'",2023-08-26T18:30:00.000Z,"',",87,",",2426,)
",(",401520145,",",2023,",",0,",'",2023-08-26T21:30:00.000Z,"',",55,",",2638,)
",(",401525450,",",2023,",",0,",'",2023-08-26T23:00:00.000Z,"',",166,",",113,)
",(",401532392,",",2023,",",0,",'",2023-08-26T23:00:00.000Z,"',",21,",",195,)
",(",401520147,",",2023,",",0,",'",2023-08-26T23:30:00.000Z,"',",238,",",62,)
",(",401523986,",",2023,",",0,",'",2023-08-27T00:00:00.000Z,"',",30,",",23,)
",(",401520146,",",2023,",",0,",'",2023-08-27T01:00:00.000Z,"',",2348,",",2229,)
",(",401525461,",",2023,",",1,",'",2023-08-31T23:00:00.000Z,"',",154,",",2210,)
",(",401525816,",",2023,",",1,",'",2023-08-31T23:00:00.000Z,"',",2116,",",2309,)
",(",401532393,",",2023,",",1,",'",2023-08-31T23:00:00.000Z,"',",2711,",",2598,)
",(",401531834,",",2023,",",1,",'",2023-08-31T23:00:00.000Z,"',",2247,",",227,)
",(",401520174,",",2023,",",1,",'",2023-08-31T23:30:00.000Z,"',",41,",",152,)
",(",401520165,",",2023,",",1,",'",2023-09-01T00:00:00.000Z,"',",142,",",233,)
",(",401531377,",",2023,",",1,",'",2023-09-01T00:00:00.000Z,"',",5,",",2448,)
",(",401520176,",",2023,",",1,",'",2023-09-01T00:00:00.000Z,"',",254,",",57,)
",(",401520148,",",2023,",",1,",'",2023-09-01T00:00:00.000Z,"',",135,",",158,)
",(",401531337,",",2023,",",1,",'",2023-09-01T00:00:00.000Z,"',",202,",",2029,)
",(",401523987,",",2023,",",1,",'",2023-09-01T02:00:00.000Z,"',",9,",",253,)
",(",401532394,",",2023,",",1,",'",2023-09-01T22:30:00.000Z,"',",2199,",",47,)
",(",401520163,",",2023,",",1,",'",2023-09-01T23:00:00.000Z,"',",127,",",2117,)
",(",401525463,",",2023,",",1,",'",2023-09-01T23:00:00.000Z,"',",2390,",",193,)
",(",401525462,",",2023,",",1,",'",2023-09-01T23:30:00.000Z,"',",59,",",97,)
",(",401525815,",",2023,",",1,",'",2023-09-02T00:00:00.000Z,"',",2305,",",2623,)
",(",401523988,",",2023,",",1,",'",2023-09-02T03:00:00.000Z,"',",62,",",24,)
",(",401525464,",",2023,",",1,",'",2023-09-02T16:00:00.000Z,"',",103,",",2459,)
",(",401520159,",",2023,",",1,",'",2023-09-02T16:00:00.000Z,"',",96,",",2050,)
",(",401520170,",",2023,",",1,",'",2023-09-02T16:00:00.000Z,"',",2509,",",278,)
",(",401520179,",",2023,",",1,",'",2023-09-02T16:00:00.000Z,"',",2633,",",258,)
",(",401520172,",",2023,",",1,",'",2023-09-02T16:00:00.000Z,"',",2567,",",2348,)
",(",401520160,",",2023,",",1,",'",2023-09-02T16:00:00.000Z,"',",2335,",",189,)
",(",401523994,",",2023,",",1,",'",2023-09-02T16:00:00.000Z,"',",2628,",",38,)
",(",401525822,",",2023,",",1,",'",2023-09-02T16:00:00.000Z,"',",201,",",2032,)
",(",401520157,",",2023,",",1,",'",2023-09-02T16:00:00.000Z,"',",2294,",",328,)
",(",401520162,",",2023,",",1,",'",2023-09-02T16:00:00.000Z,"',",130,",",151,)
",(",401532570,",",2023,",",1,",'",2023-09-02T17:00:00.000Z,"',",2005,",",2523,)
",(",401520168,",",2023,",",1,",'",2023-09-02T18:00:00.000Z,"',",145,",",2382,)
